SYMBOL,NAME OF COMPANY,SERIES,ISIN NUMBER
COSMOFIRST,COSMO FIRST LIMITED,EQ,INE757A01017
CPCAP,CP Capital Limited,EQ,INE521J01018
CPEDU,Career Point Edutech Limited,EQ,INE0P6P01016
CPL,Captain Polyplast Limited,EQ,INE536P01021
CPPLUS,Aditya Infotech Limited,EQ,INE819V01029
CRAFTSMAN,Craftsman Automation Limited,EQ,INE00LO01017
CRAMC,Canara Robeco Asset Management Company Limited,EQ,INE218I01013
CREATIVEYE,Creative Eye Limited,EQ,INE230B01021
CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ,INE741K01010
CREST,Crest Ventures Limited,EQ,INE559D01011
CRISIL,Crisil Limited,EQ,INE007A01025
CRIZAC,Crizac Limited,EQ,INE0S4R01014
CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,INE299U01018
CROWN,Crown Lifters Limited,EQ,INE491V01019
CSBBANK,CSB Bank Limited,EQ,INE679A01013
CSLFINANCE,CSL Finance Limited,EQ,INE718F01018
CSM,CSM Technologies Limited,EQ,INE0ZK601013
